"PERIOD","VARIABLE","VALUE","UNIT_MEAS","STATUS"
"2009","GDPPC","77565.9047045963","CHF","A"
"2009","GDPPC","-3.04242964784388","AC","A"
"2009","GDPPC","-3.48403249764461","ACPP","A"
"2010","GDPPC","79502.4282190282","CHF","A"
"2010","GDPPC","2.49661693730909","AC","A"
"2010","GDPPC","2.17707178211253","ACPP","A"
"2011","GDPPC","80347.1645682087","CHF","A"
"2011","GDPPC","1.06252899201171","AC","A"
"2011","GDPPC","1.0832034442297","ACPP","A"
"2012","GDPPC","80487.2798299135","CHF","A"
"2012","GDPPC","0.174387313426383","AC","A"
"2012","GDPPC","0.110596501109406","ACPP","A"
"2013","GDPPC","80922.698748659","CHF","A"
"2013","GDPPC","0.540978549238691","AC","A"
"2013","GDPPC","0.628366970925809","ACPP","A"
"2014","GDPPC","81285.4983904716","CHF","A"
"2014","GDPPC","0.448328648726126","AC","A"
"2014","GDPPC","1.10869353536758","ACPP","A"
"2015","GDPPC","80653.760300695","CHF","A"
"2015","GDPPC","-0.777184248464524","AC","A"
"2015","GDPPC","0.494123619606546","ACPP","A"
"2016","GDPPC","80953.1790743627","CHF","A"
"2016","GDPPC","0.371239694902581","AC","A"
"2016","GDPPC","0.960131682785748","ACPP","A"
"2017","GDPPC","80995.1995634431","CHF","A"
"2017","GDPPC","0.0519071512210534","AC","A"
"2017","GDPPC","0.421326251669996","ACPP","A"
"2018","GDPPC","83332.6499553714","CHF","A"
"2018","GDPPC","2.88591225717931","AC","A"
"2018","GDPPC","2.10553067277324","ACPP","A"
"2019","GDPPC","83598.27199017","CHF","A"
"2019","GDPPC","0.318749055671264","AC","A"
"2019","GDPPC","0.423083794519941","ACPP","A"
"2020","GDPPC","80644.4236366764","CHF","A"
"2020","GDPPC","-3.53338446258906","AC","A"
"2020","GDPPC","-2.85415268828491","ACPP","A"
"2021","GDPPC","85395.639681756","CHF","A"
"2021","GDPPC","5.891561785456","AC","A"
"2021","GDPPC","4.58819212759984","ACPP","A"
"2022","GDPPC","88717.0946007736","CHF","A"
"2022","GDPPC","3.88949006225099","AC","A"
"2022","GDPPC","1.35840894527204","ACPP","A"
